idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000285902.1	0.9565	1.5104	0	0	1.8021	0	0.9372	1.4627	0	1.057	0	0	0.9136	1.8538	1.9034
ENSG00000285904.1	4.2661	3.7119	5.15	4.4489	4.3038	3.793	4.3377	5.3051	4.4715	4.4164	4.4191	4.8986	4.9769	4.5595	4.7621
ENSG00000285905.1	2.923	3.4833	2.6316	3.4058	3.4595	0	2.2183	4.2149	1.825	1.057	3.8427	2.8991	3.2988	2.1636	2.3597
ENSG00000285906.2	5.2739	5.3866	5.0599	4.3787	4.3949	5.1522	5.4944	3.2846	5.347	6.06	5.4552	3.7849	5.3158	5.1966	5.2074
ENSG00000285907.1	4.8347	4.4289	4.7194	4.5491	3.1211	4.1527	3.6614	4.5775	4.5112	4.1452	4.4688	4.5878	4.1511	4.2911	5.7621
ENSG00000285908.1	2.7643	2.9276	2.6618	2.3898	2.8839	1.0008	2.2379	1.4754	2.1519	3.0074	0	2.0897	1.8877	0	1.9254
ENSG00000285909.1	5.5834	4.8976	5.3802	5.4503	4.1112	4.4425	5.704	3.9117	5.347	4.8578	5.2259	4.3371	4.8674	5.785	4.5287
ENSG00000285910.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285911.1	0	0	0	0	1.1699	2.3054	0.9372	2.1681	0.8857	1.6554	0	0	0	0	0
ENSG00000285912.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285913.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285914.1	0	1.5104	0	0	0	0	0	2.1681	0.8857	1.6554	0.9183	1.6417	0	1.451	0
ENSG00000285915.1	0	0	1.6214	2.3696	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285917.1	0.9565	1.5104	1.6214	0	1.8021	1.5678	2.2183	0	0	1.6554	0.9183	1.6417	0.9136	1.451	1.9034
ENSG00000285918.1	3.4992	4.4787	3.5162	3.7571	4.6274	4.8923	5.0454	4.2149	4.2928	2.6737	4.8372	4.3371	3.8334	4.4501	3.5875
ENSG00000285919.1	6.5026	6.6052	6.7111	6.9612	7.0592	6.5219	6.6129	7.0442	6.484	6.5806	6.6931	6.6008	6.7132	6.6934	6.747
ENSG00000285920.2	2.3486	3.8015	0	0	0.0125	0	0	0	3.5011	0	0	3.1713	0	0	0
ENSG00000285921.1	2.8139	1.5885	2.3192	0	3.48	2.7045	2.8093	3.5949	3.3532	3.1084	1.4701	4.0059	3.4174	3.5277	3.9984
ENSG00000285922.1	0	0	1.0312	0	0	0	2.2183	0	0	0	0	1.0466	0	0	0
ENSG00000285923.1	2.2498	3.0763	2.0466	1.0312	1.1699	2.5648	2.2183	1.4627	2.7936	2.4101	2.1869	1.6417	2.1791	2.6416	0
ENSG00000285925.1	1.5218	2.7197	0	1.6214	0	0	2.8883	0	0.8857	1.057	1.4701	2.0694	1.4638	2.4167	1.2495
ENSG00000285926.1	0	0	0	0	0	2.1857	0	2.4903	3.4124	0	2.226	0	1.9458	1.6998	0
ENSG00000285927.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285928.1	4.8646	4.4189	4.6993	4.9697	4.4758	6.4119	5.6341	6.3289	5.8354	4.4966	5.0664	6.0503	5.5352	5.6852	5.1569
ENSG00000285929.1	0	1.5104	1.0312	0	1.8021	0	0	1.4627	0	0	0	1.0466	0	0	0
ENSG00000285930.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285931.1	0	0.948	1.6214	1.0312	1.1699	1.5678	1.9048	1.4627	0.8857	0	0.9183	2.0694	2.1791	1.451	1.9034
ENSG00000285932.1	4.7449	5.0672	3.225	2.5107	4.9906	2.6346	2.3558	2.9256	3.6097	4.8277	4.4389	3.1511	4.0815	4.4103	3.4118
ENSG00000285933.1	7.992	7.2048	7.9215	7.9315	8.4409	6.3619	6.0135	8.7699	8.3522	7.6212	6.4035	7.5313	8.0522	6.8032	8.6207
ENSG00000285934.1	9.7717	9.8442	10.1117	10.1017	10.0616	9.7217	9.9817	10.2916	9.9418	9.2416	9.7318	10.2017	9.9118	10.0418	10.2716
ENSG00000285935.1	5.3238	2.8781	5.8807	0	4.3949	4.7624	5.205	0	3.9954	3.7129	5.9841	0	4.6981	5.3761	0
ENSG00000285936.1	3.6186	2.4924	2.0466	2.0466	1.8021	2.984	1.4958	3.531	0.8857	3.0983	2.1869	0	1.4638	3.7257	2.9744
ENSG00000285937.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285938.1	5.0443	4.3193	5.6005	5.3102	5.1216	5.982	5.6441	5.6509	5.7457	4.9681	5.2957	5.76	5.4853	4.848	4.9647
ENSG00000285939.2	0	0	1.0312	0	1.8021	0	1.4958	0	0.8857	0	1.4701	1.0466	0	0	1.2495
ENSG00000285940.2	4.4356	4.7579	4.058	3.8674	1.8021	4.2327	3.88	3.9117	2.3843	3.421	5.8544	3.4028	4.2902	3.2808	2.9744
ENSG00000285941.1	0	0	0	0	0	1.5678	1.4958	0	0	0	1.4701	0	0	0.9042	0
ENSG00000285942.1	5.1241	5.0472	6.1609	4.9297	0	3.6631	3.8104	0	0	6.6606	5.1461	2.7376	2.8058	0	0
ENSG00000285943.1	9.6318	9.4743	9.8217	9.6017	9.8115	9.5617	9.3518	10.2115	9.7918	9.9417	9.3418	9.8917	9.8318	9.6918	9.8815
ENSG00000285944.2	0.9565	0.948	1.0312	1.0312	1.8021	0	1.4958	2.6481	2.1326	1.6554	0	0	0.9136	0.9042	1.9034
ENSG00000285945.1	0	0	0	0	1.181	0	0	0	0.8857	0	0.9183	0	0	0	0
ENSG00000285946.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285947.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285948.1	3.4197	3.9408	3.4661	4.078	3.1211	4.1227	4.8658	3.9851	4.6901	3.0781	4.7674	4.7883	4.0815	4.9675	4.6302
ENSG00000285950.1	0	0	0	1.2759	3.5413	0	0	0	0	0	0	0	0	0	0
ENSG00000285952.1	7.1722	6.6951	6.9212	6.9813	6.6383	4.6724	4.9955	6.6516	6.2944	6.2202	7.0828	5.6799	6.2638	6.1043	6.7671
ENSG00000285953.1	6.7624	6.825	7.8615	7.6314	0	5.5621	6.3931	7.4261	4.8094	6.7607	6.5932	6.991	5.4056	0	7.1683
ENSG00000285954.1	0.9565	0	0	2.0466	0	0.9909	1.4958	0	1.4258	0	0.9183	1.0466	0	1.451	0
ENSG00000285955.1	0.9953	1.5494	2.4099	2.0769	1.8342	1.5977	2.7599	3.5949	2.6764	2.105	2.4804	2.9596	2.7173	2.9164	1.2842
ENSG00000285956.1	0	0	0	0	0	0	0	0	0.8857	0	0	0.611	0.5233	0	0.7499
ENSG00000285957.1	2.5464	3.0168	4.1983	2.6719	4.5668	3.3635	2.5823	3.3599	3.1269	3.421	3.4166	3.2921	2.629	2.9852	2.8273
ENSG00000285958.1	4.3758	4.4787	5.3502	4.5791	4.6981	4.3726	4.1983	6.5004	4.5808	5.1084	4.2301	4.4775	5.0367	4.3308	4.2436
